date,sentiment_score
2019-11-27,0.765
2019-11-30,0.34
2019-12-02,-0.0506
2019-12-03,0.2732
2019-12-04,0.3592
2019-12-05,0.0772
2019-12-06,0.128
2019-12-08,0.4215
2019-12-09,0.3182
2019-12-10,0.36345
2019-12-11,0.4588
2019-12-12,-0.05560000000000001
2019-12-13,0.0386
2019-12-14,0.0
2019-12-15,0.296
2019-12-16,0.654
2019-12-17,0.32835000000000003
2019-12-18,0.4019
2019-12-19,0.4404
2019-12-20,0.68485
2019-12-21,0.296
2019-12-23,0.4404
2019-12-24,0.0516
2019-12-26,0.46715
2019-12-27,0.0
2019-12-30,0.26335
2019-12-31,0.27115
2020-01-01,0.743
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.8591
2020-01-06,0.1779
2020-01-07,0.3902
2020-01-08,0.5106
2020-01-09,0.20095
2020-01-10,0.2202
2020-01-11,0.4767
2020-01-13,0.3818
2020-01-14,0.3982
2020-01-15,0.0
2020-01-16,0.296
2020-01-17,0.296
2020-01-18,0.17045000000000002
2020-01-21,0.1806
2020-01-22,0.0
2020-01-24,0.7184
2020-01-27,0.5574
2020-01-28,0.802
2020-01-29,-0.3818
2020-01-30,0.27115
2020-01-31,0.0
2020-02-04,0.0
2020-02-05,0.3612
2020-02-06,0.0
2020-02-07,0.0
2020-02-09,0.1591
2020-02-10,0.25
2020-02-11,0.5698
2020-02-12,0.0
2020-02-13,0.10115
2020-02-14,0.69555
2020-02-18,0.2023
2020-02-19,0.148
2020-02-20,0.5423
2020-02-21,0.2023
2020-02-23,0.6705
2020-02-24,0.2202
2020-02-25,0.0
2020-02-26,0.40164999999999995
2020-02-27,-0.6808
2020-02-28,0.09509999999999999
2020-03-01,0.0
2020-03-02,0.34
2020-03-03,0.296
2020-03-04,0.5122
2020-03-05,0.8176
2020-03-06,0.7275
2020-03-10,0.2997
2020-03-11,0.0
2020-03-12,-0.5106
2020-03-13,0.2263
2020-03-14,0.21075
2020-03-15,-0.148
2020-03-16,0.31720000000000004
2020-03-17,0.0772
2020-03-18,-0.5059
2020-03-19,0.2596
2020-03-20,0.36345
2020-03-23,0.50415
2020-03-24,0.0
2020-03-25,0.37929999999999997
2020-03-26,-0.064
2020-03-27,0.4939
2020-03-28,0.3404
2020-03-30,0.0
2020-03-31,0.4019
2020-04-01,0.5420499999999999
2020-04-02,0.45424999999999993
2020-04-03,0.0
2020-04-06,-0.3243
2020-04-07,-0.4215
2020-04-08,0.6367499999999999
2020-04-09,-0.6597
2020-04-13,-0.36755
2020-04-14,0.5423
2020-04-15,0.0
2020-04-16,0.3389
2020-04-17,0.6705
2020-04-18,0.1779
2020-04-19,-0.34
2020-04-20,-0.2732
2020-04-21,0.0
2020-04-22,0.2553
2020-04-23,0.7783
2020-04-24,0.3182
2020-04-25,-0.04049999999999998
2020-04-26,0.1027
2020-04-27,0.25
2020-04-28,0.0
2020-04-29,0.6908
2020-04-30,0.3818
2020-05-01,-0.125
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.4144
2020-05-08,0.148
2020-05-09,0.0
2020-05-11,0.0
2020-05-12,0.148
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.3645
2020-05-17,0.0
2020-05-18,0.296
2020-05-19,0.0
2020-05-20,0.20095
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.5719
2020-05-26,0.14925
2020-05-27,0.10115
2020-05-28,0.0
2020-05-29,0.4559
2020-05-30,0.35015
2020-05-31,0.4588
2020-06-01,0.29295
2020-06-02,0.0
2020-06-03,0.5574
2020-06-04,0.4667
2020-06-05,0.0
2020-06-06,0.296
2020-06-08,0.6486
2020-06-09,0.6597
