date,open,high,low,close,adjClose,changePercent,vwap,return,return_squared,realized_vol,implied_vol,news_sentiment,press_sentiment,weighted_average_sentiment,h.1,h.2,h.3,h.4,h.5
2018-08-21,62.13,63.38,61.92,63.33,62.74,1.9396410462776668,62.88,0.0221110393802452,0.0004888980624747,0.0272800689250147,0.0095643151158338,0.3818,,0.3818,0.026069964234213643,0.0267107816499579,0.02718314799706496,0.027207827474959867,0.02785373367826387
2018-08-22,63.0,65.75,62.97,65.71,65.09,4.293653968253958,64.81,0.0375809253118584,0.0014123259472954,0.0332840111484541,0.0153902830720714,,,0.0,0.027356967797981756,0.0276724365952001,0.027574441283145144,0.03038944641587073,0.03041683506517732
2018-08-23,65.32,67.37,65.18,66.71,66.09,2.135798755697794,66.42,0.0152183838076396,0.0002315992057166,0.0331144481070205,0.0098651581735733,-0.1027,,-0.1027,0.02722351986769856,0.02722898872706097,0.030155464985010434,0.02865328628542165,0.0291109490321955
2018-08-24,66.79,68.2,66.75,68.06,67.42,1.8863717908936837,67.67,0.0202368460500674,0.0004095299380541,0.0098174672497894,0.0113282798079585,,,0.0,0.02693707525014154,0.02995338046627342,0.028494235096020764,0.02793936737963007,0.028537003657862114
2018-08-27,68.36,69.72,68.04,68.97,68.33,0.9070221238963342,68.91,0.0133705553923009,0.0001787717514985,0.0095643151158335,0.0093854233889025,,,0.0,0.029514900033611253,0.0281405290288884,0.02766981573919159,0.026535530677085382,0.0279917702287432
2018-08-28,68.92,69.14,67.38,68.6,67.95,-0.4643401224067418,68.37,-0.0053646512976657,2.877948354554653e-05,0.0153902830720712,0.0089565526568459,0.5719,,0.5719,0.027417550927068386,0.027106476836244453,0.026096825810030873,0.02477388751573746,0.026349895492098624
2018-08-29,68.48,69.88,68.27,69.62,69.01,1.6683629526125996,69.26,0.0148688046647231,0.0002210813521576,0.009865158173573,0.0137210318567663,,,0.0,0.026635645175992477,0.025721692625375298,0.02447855888084877,0.02423540706576836,0.025823806621491207
2018-08-30,69.31,70.43,69.08,69.45,68.84,0.2092067867457382,69.65,-0.0024418270611893,5.962519396756564e-06,0.0113282798079582,0.0151318091639725,,,0.0,0.025061114433910063,0.023946374766068475,0.023834242212079033,0.022914284850005618,0.024608355846218153
2018-08-31,69.25,70.3,69.15,70.17,69.55,1.328516967509035,69.87,0.0103671706263499,0.0001074782267958,0.0093854233889022,0.0151146354296209,,,0.0,0.02342231965135457,0.0234307653320901,0.022600764120990824,0.022374915693044645,0.023934927681322916
2018-09-04,70.04,71.31,69.75,70.93,70.3,1.2671854725592917,70.66,0.0108308393900526,0.0001173070818931,0.0089565526568456,0.0151697792033662,,,0.0,0.02298770129151168,0.02224848073225337,0.0221091458150534,0.02204412381813685,0.023626912640200483
2018-09-05,70.75,71.11,68.79,69.61,68.99,-1.6148910311994311,69.83,-0.0186098970816298,0.0003463282693888,0.0137210318567661,0.0126407794121444,,,0.0,0.022052464755714752,0.02195776114321598,0.02193060858216977,0.022836891159179126,0.024024427953325433
2018-09-06,69.44,69.46,67.85,68.18,67.58,-1.8145189569550992,68.5,-0.020543025427381,0.00042201589371,0.0151318091639724,0.0122847208276079,0.0,,0.0,0.021887836031979687,0.0218768433941994,0.022798271142959133,0.023753169021049354,0.024653396347125826
2018-09-07,67.25,69.23,66.8,67.96,67.37,1.0631910780669136,68.0,-0.0032267527134058,1.041193307347227e-05,0.0151146354296207,0.0121084355766087,,,0.0,0.021359964048919638,0.022418578217729405,0.023481188576540003,0.0226565745398814,0.0237838998035621
2018-09-10,68.19,68.98,67.75,68.68,68.08,0.718562923425423,68.47,0.0105944673337259,0.0001122427380853,0.015169779203366,0.0148101356728856,,,0.0,0.0220496899659855,0.02321129779794092,0.02244750918426879,0.022278514978752138,0.02362958663061435
2018-09-11,68.21,69.1,68.0,68.2,67.6,-0.0219878338774704,68.43,-0.0069889341875364,4.8845201077715545e-05,0.0126407794121442,0.0150540441675969,,,0.0,0.022757629632894558,0.022087769367465895,0.022007816468717065,0.021684127039049393,0.02333585749740722
2018-09-12,67.8,68.0,65.48,67.05,66.46,-1.1025450628335005,66.84,-0.0168621700879766,0.0002843327800758,0.0122847208276077,0.0155320306534018,0.0,,0.0,0.02183418166457165,0.02181255174233627,0.02153598551255614,0.022304255201232793,0.023610623662397655
2018-09-13,67.71,68.75,67.54,67.83,67.24,0.1772177613360517,68.04,0.0116331096196868,0.0001353292394236,0.0121084355766084,0.0128472783341833,0.0,,0.0,0.02143613115657951,0.021243638069449084,0.022093470822980726,0.022105306953158793,0.02340444778789706
2018-09-14,68.75,69.78,68.38,69.11,68.5,0.5236554208853007,69.09,0.0188707061772077,0.0003561035516265,0.0148101356728854,0.015346979651951,,,0.0,0.021127265616466148,0.02200757757843575,0.022041100979049297,0.022954843627429684,0.023957864808328965
2018-09-17,68.85,69.35,68.29,68.48,67.88,-0.5337690786860918,68.7,-0.0091159021849225,8.309967264507537e-05,0.0150540441675967,0.0087997185842577,,,0.0,0.02161044687140096,0.021737130608560286,0.022736914899690333,0.022377580172851644,0.023626316296283253
2018-09-18,68.52,69.56,67.69,67.75,67.16,-1.1200729850789497,68.33,-0.010660046728972,0.0001136365962638,0.0155320306534016,0.0120210595609684,,,0.0,0.021346012347626845,0.02245043868448383,0.022160089379062213,0.02206745430033984,0.023362879583134502
2018-09-19,67.57,68.18,67.06,68.0,67.4,0.6327095408018354,67.74,0.0036900369003689,1.3616372326084516e-05,0.0128472783341831,0.0135006189131142,0.0,,0.0,0.0219759825601794,0.021791662588852498,0.02179118339867387,0.021371062700153008,0.02298158944520709
2018-09-20,66.76,67.19,66.03,66.57,65.98,-0.288331037109057,66.6,-0.0210294117647059,0.0004422361591695,0.0153469796519508,0.013179574654271,,,0.0,0.021747078484997497,0.021756940030888218,0.021344939991932578,0.0228023672543526,0.023948876489366482
2018-09-21,66.69,67.15,65.53,65.86,65.28,-1.2408141778133446,66.18,-0.0106654649241398,0.000113752142048,0.0087997185842574,0.008947333202898,,,0.0,0.021359701782269563,0.021034461749368343,0.02258544222790016,0.022386325787277277,0.023591046026447366
2018-09-24,65.55,66.46,64.67,66.43,65.84,1.3348588252543634,65.85,0.0086547221378683,7.490421528370818e-05,0.0120210595609682,0.0219593915685795,0.0,,0.0,0.02059768953108492,0.022274041520564745,0.022151629358244152,0.02190140794056722,0.023123307353142237
2018-09-25,67.09,67.36,66.23,67.1,66.51,0.0149077767993111,66.9,0.0100858046063523,0.0001017234545575,0.013500618913114,0.0228806381412115,,,0.0,0.021926071437696384,0.021883306342838575,0.021698625024495825,0.021671922067589104,0.023182442683428693
2018-09-26,67.15,67.56,66.57,66.73,66.14,-0.629154573792764,66.95,-0.0055141579731742,3.0405938153120904e-05,0.0131795746542708,0.0260207619789076,,,0.0,0.02138701498843012,0.0213150856754683,0.02138521754041672,0.021134062722282052,0.022715344987607394
2018-09-27,67.08,67.3,66.53,66.85,66.26,-0.350303351722487,66.89,0.0017982916229579,3.2338527612008113e-06,0.0089473332028977,0.0250023121489347,0.0,,0.0,0.020800861754596323,0.020992617727299448,0.02083744494487934,0.020601919080216496,0.022246269946710896
2018-09-28,68.18,70.48,67.9,70.25,69.64,3.039627336649706,69.55,0.0508601346297681,0.0025867532945581,0.0219593915685793,0.0309437302075007,,,0.0,0.023311085978322058,0.02265190847207467,0.021988305058132963,0.030481093967867412,0.02986559029019456
2018-10-01,71.04,73.01,70.65,72.34,71.7,1.8299478909072584,72.0,0.0297508896797153,0.0008851154367345,0.0228806381412114,0.0249737330543052,,,0.0,0.023008764967913726,0.02227113152263842,0.030634357134084404,0.030997293603592192,0.03022555684881072
2018-10-02,72.06,73.19,71.39,71.62,70.99,-0.6140461405030397,72.07,-0.0099529997235278,9.906220349654468e-05,0.0260207619789075,0.0135419055552931,,,0.0,0.021805562963772,0.03037596496382462,0.030806426563248078,0.028754822294795996,0.02835040626308641
2018-10-03,72.33,72.4,70.63,71.68,71.05,-0.8952011365905899,71.57,0.0008377548170901,7.018331335577367e-07,0.0250023121489346,0.0152248778325965,,,0.0,0.030000990441821872,0.030522833731294552,0.028527624398529412,0.026609082691500578,0.028137980215981455
2018-10-04,71.32,71.56,69.04,69.82,69.21,-2.096252761086109,70.14,-0.0259486607142859,0.0006733329928651,0.0309437302075007,0.027929020675481,,,0.0,0.030345213404787935,0.028381679551704557,0.026492043531537633,0.027313812427046356,0.02870154317346184
2018-10-05,69.57,70.2,66.89,67.46,66.87,-3.0292226661619854,68.18,-0.0338012030936694,0.0011425213305794,0.024973733054305,0.0283325560192034,,,0.0,0.028567305516099883,0.02664487695331434,0.027424827922534277,0.029469727350499214,0.029938406457439577
2018-10-08,66.63,67.79,65.02,66.44,65.86,-0.2739257035647234,66.42,-0.0151200711532759,0.0002286165516801,0.0135419055552929,0.0463110772839407,,,0.0,0.026113901946093494,0.02702962016510696,0.029195226955414832,0.02789068128724657,0.02836308122706908
2018-10-09,66.24,67.19,65.7,66.39,65.8,0.2264678761007389,66.43,-0.0007525586995785,5.663445963113974e-07,0.0152248778325963,0.0479133819854919,,,0.0,0.02642176003518205,0.028764575726630843,0.02755381540113998,0.025828660766754153,0.02691760546910028
2018-10-10,65.32,65.78,61.4,61.42,60.88,-5.959581843081027,62.87,-0.0748606717879198,0.0056041201805386,0.0279290206754809,0.0566147776548996,,,0.0,0.03257825824112559,0.03064202274131776,0.028312555899192505,0.0413940732689463,0.039647773744099245
2018-10-11,60.54,61.89,58.56,58.78,58.26,-2.9070471156625404,59.75,-0.0429827417779224,0.0018475160907475,0.0283325560192033,0.0456095870027677,0.0,,0.0,0.031247752889589815,0.028816671058313488,0.041653565109788106,0.04159826978042839,0.03962544013447828
2018-10-12,61.38,62.38,59.91,61.63,61.09,0.4195332234048878,61.31,0.0484858795508675,0.0023508805158212,0.0463110772839406,0.0406093694693903,,,0.0,0.029932278456244004,0.042253635593337134,0.042048686232769375,0.04297938018249826,0.04053258185450543
2018-10-15,61.5,61.5,58.83,58.85,58.33,-4.317071544715442,59.73,-0.0451079019957813,0.002034722822461,0.0479133819854919,0.0361774188724903,,,0.0,0.04289140098938866,0.04254184701395858,0.043341006315702174,0.04327165425183578,0.042810082932447
2018-10-16,59.98,61.57,59.49,61.46,60.92,2.459053972710512,60.84,0.0443500424808835,0.0019669262680561,0.0566147776548996,0.0324435658340472,,,0.0,0.042613106283192176,0.04339475193933127,0.04331194158843269,0.043108629933019886,0.042636528255500745
2018-10-17,62.08,62.47,60.27,60.76,60.23,-2.126117453911854,61.17,-0.0113895216400912,0.0001297212031901,0.0456095870027676,0.0227407592023949,,,0.0,0.04245822086668976,0.042592906871748056,0.04256916634387064,0.03844467023283697,0.03913194844997679
2018-10-18,61.47,61.85,59.27,59.88,59.36,-2.5746359716912113,60.34,-0.0144832126398946,0.0002097634483724,0.0406093694693903,0.0400693026577525,,,0.0,0.041691687974904704,0.04187815910001161,0.03787252141068535,0.03478819797229646,0.036321225671149954
