date,open,high,low,close,adjClose,changePercent,volume,vwap,return,return_squared,realized_vol,implied_vol,news_sentiment,press_sentiment,weighted_average_sentiment
2018-08-21,62.13,63.38,61.92,63.33,62.74,1.9396410462776668,67398800,62.88,0.0221110393802452,0.0004888980624747,0.0272800689250147,0.0095643151158336,0.3818,,0.3818
2018-08-22,63.0,65.75,62.97,65.71,65.09,4.293653968253958,74985600,64.81,0.0375809253118584,0.0014123259472954,0.0332840111484541,0.0153902830720712,,,0.0
2018-08-23,65.32,67.37,65.18,66.71,66.09,2.135798755697794,72068400,66.42,0.0152183838076396,0.0002315992057166,0.0331144481070205,0.0098651581735731,-0.1027,,-0.1027
2018-08-24,66.79,68.2,66.75,68.06,67.42,1.8863717908936837,53151200,67.67,0.0202368460500674,0.0004095299380541,0.0098174672497894,0.0113282798079583,,,0.0
2018-08-27,68.36,69.72,68.04,68.97,68.33,0.9070221238963342,50577600,68.91,0.0133705553923009,0.0001787717514985,0.0095643151158335,0.0093854233889023,,,0.0
2018-08-28,68.92,69.14,67.38,68.6,67.95,-0.4643401224067418,47538400,68.37,-0.0053646512976657,2.877948354554653e-05,0.0153902830720712,0.0089565526568457,0.5719,,0.5719
2018-08-29,68.48,69.88,68.27,69.62,69.01,1.6683629526125996,42010800,69.26,0.0148688046647231,0.0002210813521576,0.009865158173573,0.0137210318567662,,,0.0
2018-08-30,69.31,70.43,69.08,69.45,68.84,0.2092067867457382,34660800,69.65,-0.0024418270611893,5.962519396756564e-06,0.0113282798079582,0.0151318091639724,,,0.0
2018-08-31,69.25,70.3,69.15,70.17,69.55,1.328516967509035,30659200,69.87,0.0103671706263499,0.0001074782267958,0.0093854233889022,0.0151146354296208,,,0.0
2018-09-04,70.04,71.31,69.75,70.93,70.3,1.2671854725592917,39172000,70.66,0.0108308393900526,0.0001173070818931,0.0089565526568456,0.0151697792033661,,,0.0
2018-09-05,70.75,71.11,68.79,69.61,68.99,-1.6148910311994311,39315600,69.83,-0.0186098970816298,0.0003463282693888,0.0137210318567661,0.0126407794121443,,,0.0
2018-09-06,69.44,69.46,67.85,68.18,67.58,-1.8145189569550992,32279600,68.5,-0.020543025427381,0.00042201589371,0.0151318091639724,0.0122847208276078,0.0,,0.0
