date,open,high,low,close,adjClose,changePercent,volume,vwap,return,return_squared,realized_vol,implied_vol,news_sentiment,press_sentiment,weighted_average_sentiment,h.1,h.2,h.3,h.4,h.5,predicted_vol
2018-08-21,62.13,63.38,61.92,63.33,62.74,1.9396410462776668,67398800,62.88,0.0221110393802452,0.0004888980624747,0.0272800689250147,0.0095643151158336,0.3818,,0.3818,0.0251860527571016,0.0257480380031967,0.0262715124701227,0.0267600035994,0.0272165805191397,
2018-08-22,63.0,65.75,62.97,65.71,65.09,4.293653968253958,74985600,64.81,0.0375809253118584,0.0014123259472954,0.0332840111484541,0.0153902830720712,,,0.0,0.0272021808306651,0.0276304481107701,0.0280317968214101,0.0284083472125302,0.0287619934668164,
2018-08-23,65.32,67.37,65.18,66.71,66.09,2.135798755697794,72068400,66.42,0.0152183838076396,0.0002315992057166,0.0331144481070205,0.0098651581735731,-0.1027,,-0.1027,0.0267044858534204,0.0271646554837138,0.0275953045501441,0.0279988441642763,0.0283774154124878,
2018-08-24,66.79,68.2,66.75,68.06,67.42,1.8863717908936837,53151200,67.67,0.0202368460500674,0.0004095299380541,0.0098174672497894,0.0113282798079583,,,0.0,0.0266058526084573,0.0270724265747957,0.0275089456870811,0.027917882598419,0.0283014303423085,
2018-08-27,68.36,69.72,68.04,68.97,68.33,0.9070221238963342,50577600,68.91,0.0133705553923009,0.0001787717514985,0.0095643151158335,0.0093854233889023,,,0.0,0.0260873826594922,0.0265880844129401,0.0270558150244566,0.0274933938553335,0.0279033047890133,
2018-08-28,68.92,69.14,67.38,68.6,67.95,-0.4643401224067418,47538400,68.37,-0.0053646512976657,2.877948354554653e-05,0.0153902830720712,0.0089565526568457,0.5719,,0.5719,0.0253460185155429,0.0258969379956829,0.0264103765889404,0.0268897252532575,0.0273379411659023,
2018-08-29,68.48,69.88,68.27,69.62,69.01,1.6683629526125996,42010800,69.26,0.0148688046647231,0.0002210813521576,0.009865158173573,0.0137210318567662,,,0.0,0.0250789083057806,0.0256483527216256,0.0261785845981588,0.0266732256280797,0.0271354220230008,
2018-08-30,69.31,70.43,69.08,69.45,68.84,0.2092067867457382,34660800,69.65,-0.0024418270611893,5.962519396756564e-06,0.0113282798079582,0.0151318091639724,,,0.0,0.0244168190442923,0.0250332286483827,0.025605864869299,0.0261389863984891,0.0266362558212177,
2018-08-31,69.25,70.3,69.15,70.17,69.55,1.328516967509035,30659200,69.87,0.0103671706263499,0.0001074782267958,0.0093854233889022,0.0151146354296208,,,0.0,0.0240477825199471,0.0246910490270997,0.0252878207661625,0.0258427563969167,0.026359838893515,
2018-09-04,70.04,71.31,69.75,70.93,70.3,1.2671854725592917,39172000,70.66,0.0108308393900526,0.0001173070818931,0.0089565526568456,0.0151697792033661,,,0.0,0.0237491906731918,0.0244145613033252,0.0250311337013282,0.0256039164723293,0.0261371706514728,
2018-09-05,70.75,71.11,68.79,69.61,68.99,-1.6148910311994311,39315600,69.83,-0.0186098970816298,0.0003463282693888,0.0137210318567661,0.0126407794121443,,,0.0,0.0239692626551831,0.0246183088668645,0.0252202636146665,0.0257798752125542,0.0263011980683565,
2018-09-06,69.44,69.46,67.85,68.18,67.58,-1.8145189569550992,32279600,68.5,-0.020543025427381,0.00042201589371,0.0151318091639724,0.0122847208276078,0.0,,0.0,0.0243098194388658,0.0249339645277136,0.0255135609986828,0.0260529799831546,0.0265559744219976,
2018-09-07,67.25,69.23,66.8,67.96,67.37,1.0631910780669136,29542000,68.0,-0.0032267527134058,1.041193307347227e-05,0.0151146354296207,0.0121084355766085,,,0.0,0.0237538478782836,0.0244188711133706,0.0250351327694304,0.0256076358021559,0.0261406367738688,
2018-09-10,68.19,68.98,67.75,68.68,68.08,0.718562923425423,22014000,68.47,0.0105944673337259,0.0001122427380853,0.015169779203366,0.0148101356728855,,,0.0,0.0234850331742764,0.0241702475841767,0.0248045458635054,0.0253932674677504,0.0259409344816841,
2018-09-11,68.21,69.1,68.0,68.2,67.6,-0.0219878338774704,24311200,68.43,-0.0069889341875364,4.8845201077715545e-05,0.0126407794121442,0.0150540441675967,,,0.0,0.0231181471008452,0.0238313883154535,0.0244906399290638,0.0251017368002322,0.0256695887310817,
2018-09-12,67.8,68.0,65.48,67.05,66.46,-1.1025450628335005,41909200,66.84,-0.0168621700879766,0.0002843327800758,0.0122847208276077,0.0155320306534017,0.0,,0.0,0.0233062482974655,0.0240050514323834,0.0246514604087191,0.0252510506785371,0.025808529486918,
2018-09-13,67.71,68.75,67.54,67.83,67.24,0.1772177613360517,30553600,68.04,0.0116331096196868,0.0001353292394236,0.0121084355766084,0.0128472783341832,0.0,,0.0,0.0231490296459567,0.0238598903422225,0.0245170262788298,0.0251262289199471,0.0256923742527197,
2018-09-14,68.75,69.78,68.38,69.11,68.5,0.5236554208853007,38693600,69.09,0.0188707061772077,0.0003561035516265,0.0148101356728854,0.0153469796519508,,,0.0,0.0234840842998527,0.0241693704893443,0.0248037328004355,0.0253925119148138,0.0259402308815344,
2018-09-17,68.85,69.35,68.29,68.48,67.88,-0.5337690786860918,20552800,68.7,-0.0091159021849225,8.309967264507537e-05,0.0150540441675967,0.0087997185842575,,,0.0,0.0231905344267272,0.0238982020686556,0.0245524990782872,0.0251591591027366,0.0257230130322749,
2018-09-18,68.52,69.56,67.69,67.75,67.16,-1.1200729850789497,29952000,68.33,-0.010660046728972,0.0001136365962638,0.0155320306534016,0.0120210595609683,,,0.0,0.0230031458411069,0.0237252868913535,0.0243924419057576,0.0250106101917969,0.0255848294492019,
2018-09-19,67.57,68.18,67.06,68.0,67.4,0.6327095408018354,22486000,67.74,0.0036900369003689,1.3616372326084516e-05,0.0128472783341831,0.013500618913114,0.0,,0.0,0.0226244919559037,0.0233763369342488,0.0240697974722327,0.024711447669002,0.0253067692600927,
2018-09-20,66.76,67.19,66.03,66.57,65.98,-0.288331037109057,43058400,66.6,-0.0210294117647059,0.0004422361591695,0.0153469796519508,0.0131795746542709,,,0.0,0.0232284681674219,0.0239332237324947,0.0245849305228629,0.0251892698428874,0.0257510317131721,
2018-09-21,66.69,67.15,65.53,65.86,65.28,-1.2408141778133446,43512800,66.18,-0.0106654649241398,0.000113752142048,0.0087997185842574,0.0089473332028978,,,0.0,0.0230359940107089,0.0237555872867381,0.0244204807957049,0.0250366264091244,0.0256090249742891,
2018-09-24,65.55,66.46,64.67,66.43,65.84,1.3348588252543634,29391200,65.85,0.0086547221378683,7.490421528370818e-05,0.0120210595609682,0.0219593915685794,0.0,,0.0,0.0227864495522389,0.0235255134564764,0.0242076690071186,0.0248392380129772,0.0254255078748086,
2018-09-25,67.09,67.36,66.23,67.1,66.51,0.0149077767993111,28038800,66.9,0.0100858046063523,0.0001017234545575,0.013500618913114,0.0228806381412114,,,0.0,0.0226302920343973,0.0233816772991725,0.0240747315805251,0.0247160197707582,0.0253110165287116,
2018-09-26,67.15,67.56,66.57,66.73,66.14,-0.629154573792764,26854800,66.95,-0.0055141579731742,3.0405938153120904e-05,0.0131795746542708,0.0260207619789075,,,0.0,0.0223389080810874,0.023113574830416,0.0238271688278563,0.0244867339155968,0.0250981114042149,
2018-09-27,67.08,67.3,66.53,66.85,66.26,-0.350303351722487,21442800,66.89,0.0017982916229579,3.2338527612008113e-06,0.0089473332028977,0.0250023121489346,0.0,,0.0,0.0220265508312746,0.0228266074848959,0.0235625200065605,0.024241884909406,0.0248709629586558,
2018-09-28,68.18,70.48,67.9,70.25,69.64,3.039627336649706,70939600,69.55,0.0508601346297681,0.0025867532945581,0.0219593915685793,0.0309437302075007,,,0.0,0.0270008673927212,0.0274419569191916,0.0278550938792071,0.0282425123437659,0.0286062033935096,
2018-10-01,71.04,73.01,70.65,72.34,71.7,1.8299478909072584,62206000,72.0,0.0297508896797153,0.0008851154367345,0.0228806381412114,0.0249737330543051,,,0.0,0.0277219594606946,0.028117618077866,0.0284889179498283,0.0288377076299406,0.0291656484730023,
