date,open,high,low,close,adjClose,changePercent,volume,vwap,return,return_squared,realized_vol,implied_vol
2018-01-03,51.03,53.42,50.94,53.12,52.56,4.100926835828441,91470400,52.49,0.06581059390048138,0.0043310342695340774,,0.027157288874265644
2018-01-04,53.94,54.51,53.17,53.4,52.83,-1.0057471450824405,58326800,53.69,0.005271084337349352,2.7784330091449658e-05,,0.011819992025341853
2018-01-05,53.55,54.23,52.77,53.85,53.28,0.5649133840998527,58012400,53.62,0.008426966292134797,7.101376088877608e-05,,0.01228973526715349
2018-01-08,55.1,56.25,54.65,55.5,54.91,0.7259564691817242,88121600,55.47,0.03064066852367686,0.000938850567577842,,0.013983174837881975
2018-01-09,55.56,55.96,54.66,55.49,54.9,-0.12599945999460502,49700000,55.37,-0.00018018018018017834,3.246489732976153e-08,0.027157288874265585,0.007688799207963362
2018-01-10,54.55,55.96,54.0,55.92,55.33,2.511455591410735,58266400,55.29,0.007749143989908003,6.004923257632732e-05,0.011819992025341737,0.012795880917207868
2018-01-11,56.25,56.57,55.8,56.02,55.43,-0.4088888888888833,40603200,56.13,0.0017882689556509845,3.1979058577450628e-06,0.012289735267153377,0.012509510314115874
2018-01-12,55.9,56.25,55.33,55.74,55.16,-0.27728621548171084,35991600,55.78,-0.004998214923241706,2.4982152418916094e-05,0.013983174837881878,0.01671633196221743
2018-01-16,56.01,56.88,54.17,55.03,54.45,-1.7585377949825824,70234800,55.36,-0.01273771080014352,0.00016224927642809287,0.007688799207963197,0.016011014161400765
2018-01-17,55.17,56.28,54.22,56.18,55.59,1.8214789636878832,53840800,55.56,0.020897692167908488,0.0004367135379446638,0.012795880917207764,0.010582511398765756
2018-01-18,55.99,56.66,55.67,56.11,55.52,0.223274087286343,40863200,56.15,-0.0012459950160199629,1.5525035799465876e-06,0.01250951031411577,0.01640523920277287
2018-01-19,57.02,57.77,56.75,57.53,56.92,0.8856170965078187,60938000,57.35,0.025307431830333238,0.0006404661058469639,0.016716331962217352,0.01586799569856848
2018-01-22,57.61,58.44,57.03,58.42,57.8,1.4147516005642136,55094400,57.96,0.015470189466365358,0.00023932676212524168,0.016011014161400678,0.016907331003266326
2018-01-23,58.96,59.96,58.78,59.73,59.1,1.2974330702587824,47522800,59.49,0.02242382745635041,0.0005028280377921744,0.01058251139876562,0.016851775651916465
2018-01-24,59.76,60.12,58.39,58.95,58.33,-1.3554167120286762,57997200,59.15,-0.013058764439979775,0.00017053132869888029,0.01640523920277279,0.01921223921396367
2018-01-25,59.5,59.94,58.94,59.09,58.46,-0.6932739495798309,40988400,59.32,0.0023748939779473233,5.640121406490461e-06,0.015867995698568393,0.017058759196499188
