,press_sentiment_score,news_sentiment_score,date,open,low,high,close,volume,log_return,log_volume_change,log_trading_range,previous_volatility_7,previous_volatility_3,future_volatility_7,weight_avg_sentiment,rolling_sentiment_7,garch_volatility,sentiment_score_press,sentiment_score_news
0,,0.4939,2021-02-02 09:30:00,133.3025,133.1125,135.1143,134.675,5534824,0.0188700754377392,0.5436393360209826,0.0149264515435525,0.0069980685916787,0.0106662746143817,0.0067805399114293,0.4939,0.4939,,,0.8644221425056458
1,,,2021-02-02 10:30:00,133.625,132.855,133.9825,133.0375,2662972,-0.0122334251994348,-0.7316169756845954,0.0084508864777973,0.0091670438207577,0.0155712418349751,0.0029857970146502,,0.4939,,,0.8644221425056458
2,,,2021-02-02 11:30:00,134.335,133.54,134.5675,133.5625,2017932,0.0039384897122037,-0.2773695676849044,0.0076648734592522,0.0091591770282924,0.0155558715392558,0.0047515619201035,,0.4939,,,0.8644221425056458
3,,,2021-02-02 12:30:00,133.8325,133.695,134.6338,134.31,1591220,0.0055810278416173,-0.2375722070253839,0.006997413848966,0.0091973359696963,0.0098453330785683,0.0050296951780847,,0.4939,,,0.8644221425056458
4,,0.4404,2021-02-02 13:30:00,134.5025,134.005,134.7975,134.2231,1726548,-0.0006472200487277,0.0816230217639746,0.0058965396245441,0.0092910103518792,0.0032279440645109,0.0052199118956408,0.4404,0.46715,,,0.8644221425056458
5,,,2021-02-02 14:30:00,135.0425,134.3875,135.5346,134.465,2415588,0.0018006012574182,0.3358186963565587,0.008499540465511,0.0091909279977891,0.0031377945038123,0.0053038263963238,,0.46715,,,0.8644221425056458
6,,,2021-02-02 15:30:00,135.3375,135.12,135.72,135.5925,4207780,0.0083501221124678,0.5549924569704848,0.0044306674164846,0.0094138354981164,0.004651885254804,0.0049408978437484,,0.46715,8.30645650007467e-05,,0.8644221425056458
7,,,2021-02-03 09:30:00,137.4775,135.625,139.3175,136.2925,9912376,0.0051492472677264,0.8568488847250981,0.0268617767411854,0.0067805399114293,0.0032750382518066,0.004405725749604,,0.4404,4.031173946375579e-05,,0.8625379800796509
8,,0.8934,2021-02-03 10:30:00,136.8075,136.3277,137.72,137.15,2496784,0.0062719058737437,-1.3787805736735663,0.0101610922427362,0.0029857970146502,0.0016240353471245,0.0033254426931679,0.8934,0.6669,2.06682853465e-05,,0.8625379800796509
9,,0.0,2021-02-03 11:30:00,136.0013,135.7986,136.9275,136.415,2383084,-0.0053735073460952,-0.0466080565707806,0.0082786828805337,0.0047515619201035,0.0064239704242413,0.0030739405950743,0.0,0.4446,1.4735451862833812e-05,,0.8625379800796509
10,,-0.3612,2021-02-03 12:30:00,136.1225,135.8775,136.522,136.0475,1773768,-0.002697620574302,-0.295289349748452,0.0047320292632105,0.0050296951780847,0.0060995686155996,0.0048692173075658,-0.3612,0.2431499999999999,2.386912211950257e-05,,0.8625379800796509
11,,,2021-02-03 13:30:00,136.1938,135.555,136.385,135.7153,1751444,-0.002444780267659,-0.0126655068828166,0.0061043066656281,0.0052199118956408,0.0016228442385765,0.004771906281437,,0.1773999999999999,4.157186896279616e-05,,0.8625379800796509
12,,,2021-02-03 14:30:00,135.52,135.28,136.5913,136.265,1775652,0.0040422100312653,0.0137270888747658,0.0096465509134106,0.0053038263963238,0.0038203465800619,0.0045624128606984,,0.1773999999999999,2.4269490485483657e-05,,0.8625379800796509
13,,,2021-02-03 15:30:00,135.25,135.0,135.7413,135.625,2495396,-0.0047077949320973,0.3402797546199549,0.0054760899240762,0.0049408978437484,0.0045417482934928,0.004526318355375,,0.1773999999999999,2.10700629913262e-05,,0.8625379800796509
